Dato,Klik,Eksponeringer,CTR,Placering
2026-07-06,25,2026,1.23%,18.4
2026-07-07,25,2094,1.19%,15.9
2026-07-08,26,2334,1.11%,14.3
2026-07-09,19,2481,0.77%,17.8
2026-07-10,29,2122,1.37%,13.2
2026-07-11,25,2269,1.1%,14.2
2026-07-12,19,2032,0.94%,14.6
2026-07-13,16,2185,0.73%,15
2026-07-14,30,2204,1.36%,13.9
2026-07-15,21,2526,0.83%,16.7
2026-07-16,38,2389,1.59%,14.6
2026-07-17,40,2387,1.68%,13.8
2026-07-18,26,2158,1.2%,13.3
2026-07-19,31,1928,1.61%,11.9
2026-07-20,30,1810,1.66%,12.8
2026-07-21,38,2058,1.85%,11.6
2026-07-22,42,2171,1.93%,11.4
2026-07-23,36,2517,1.43%,15.7
2026-07-24,33,2304,1.43%,11.7
2026-07-25,40,2201,1.82%,12.7
2026-07-26,32,1972,1.62%,12.7
2026-07-27,39,2446,1.59%,16.6
2026-07-28,50,2666,1.88%,14.7
2026-07-29,28,2919,0.96%,18.5
2026-07-30,36,2940,1.22%,15.9
2026-07-31,41,3489,1.18%,19.3
2026-08-01,46,3119,1.47%,18.2
2026-08-02,27,2648,1.02%,16.9
