Land,Klik,Eksponeringer,CTR,Placering
Danmark,826,60366,1.37%,14.52
Norge,16,2142,0.75%,35.99
Italien,9,480,1.88%,7.51
Tyskland,7,437,1.6%,9.22
Spanien,7,245,2.86%,9.07
Frankrig,6,541,1.11%,12.57
Sverige,3,324,0.93%,18.91
Storbritannien,2,167,1.2%,14.18
Færøerne,2,136,1.47%,6.32
Østrig,2,75,2.67%,7.09
Kroatien,1,50,2%,5.98
Tjekkiet,1,38,2.63%,14.03
Schweiz,1,33,3.03%,15.7
Indonesien,1,17,5.88%,23.88
Brasilien,1,11,9.09%,7.45
Georgien,1,8,12.5%,6.88
Bosnien-Hercegovina,1,8,12.5%,7.5
Litauen,1,5,20%,7.2
USA,0,372,0%,14.47
Nederlandene,0,139,0%,19.32
Grækenland,0,101,0%,8.21
Portugal,0,68,0%,7.26
Indien,0,41,0%,37.34
Polen,0,39,0%,13.41
Belgien,0,37,0%,16.59
Canada,0,33,0%,15.21
Irland,0,32,0%,70.97
Grønland,0,30,0%,6.13
Tyrkiet,0,21,0%,14.76
Vietnam,0,21,0%,30.76
Rusland,0,19,0%,26.21
Thailand,0,17,0%,10.82
Filippinerne,0,16,0%,23.25
Japan,0,15,0%,6.87
Australien,0,12,0%,18.58
Rumænien,0,12,0%,24.17
Sydkorea,0,12,0%,25.58
Slovenien,0,11,0%,9.09
Cypern,0,11,0%,9.45
Island,0,11,0%,16.82
Argentina,0,11,0%,25.73
Ukraine,0,11,0%,29.45
Malta,0,10,0%,7.4
Sydafrika,0,10,0%,9.1
Ungarn,0,10,0%,16.1
Singapore,0,9,0%,7.11
Bulgarien,0,9,0%,11.33
Finland,0,9,0%,29
Mexico,0,8,0%,18.25
Forenede Arabiske Emirater,0,6,0%,6.5
Luxembourg,0,6,0%,9.5
Montenegro,0,6,0%,12.5
Letland,0,5,0%,6.2
Albanien,0,5,0%,6.8
Mauritius,0,5,0%,8
Estland,0,5,0%,10.4
Marokko,0,5,0%,12.2
Taiwan,0,5,0%,14.2
Hongkong,0,5,0%,17.8
Slovakiet,0,5,0%,18.6
Pakistan,0,5,0%,31
Kenya,0,4,0%,19
Colombia,0,4,0%,21.5
Bangladesh,0,4,0%,32.75
New Zealand,0,4,0%,43.75
Nigeria,0,3,0%,4
Armenien,0,3,0%,6.67
Ecuador,0,3,0%,7
Israel,0,3,0%,7
Den Dominikanske Republik,0,3,0%,9
Uruguay,0,3,0%,9.67
Bolivia,0,3,0%,16
Malaysia,0,3,0%,21.67
Makedonien,0,2,0%,1
Irak,0,2,0%,4.5
Iran,0,2,0%,5.5
Peru,0,2,0%,6
Svalbard og Jan Mayen,0,2,0%,7.5
Serbien,0,2,0%,8
Sri Lanka,0,2,0%,8.5
Kina,0,2,0%,10
Angola,0,2,0%,27
Costa Rica,0,2,0%,33.5
Laos,0,1,0%,4
Nicaragua,0,1,0%,4
Palæstina,0,1,0%,4
Samoa,0,1,0%,4
Kosovo,0,1,0%,4
Algeriet,0,1,0%,5
Trinidad og Tobago,0,1,0%,5
Puerto Rico,0,1,0%,6
Senegal,0,1,0%,6
Honduras,0,1,0%,7
Macao,0,1,0%,7
Mali,0,1,0%,7
Namibia,0,1,0%,7
Panama,0,1,0%,7
Fransk Polynesien,0,1,0%,7
Tanzania,0,1,0%,8
Chile,0,1,0%,9
Haiti,0,1,0%,9
Togo,0,1,0%,9
Benin,0,1,0%,10
Cameroon,0,1,0%,10
Congo (Brazzaville),0,1,0%,10
Åland,0,1,0%,11
Burundi,0,1,0%,11
Etiopien,0,1,0%,13
Jordan,0,1,0%,14
Mikronesien,0,1,0%,17
Rwanda,0,1,0%,24
Malawi,0,1,0%,35
Egypten,0,1,0%,43
Paraguay,0,1,0%,49
Venezuela,0,1,0%,52
